 T: 2018-06-20 14:06:48,314 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,006 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,006 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,006 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,045 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,047 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,162 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,162 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = CommonAcceptanceTestDefinitions ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,162 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,222 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,227 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,227 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:19,269 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:23,233 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:23,233 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:23,240 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:23,245 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:23,287 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:23,560 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:23,560 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:23,767 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:23,768 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:23,956 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:23,956 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:24,180 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:24,180 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:24,180 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = ContactDefinition ~ ScenarioName =ROL user validate data in default view of Contact us page ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:24,180 |L: DEBUG |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'cb331ce2-b4e2-4e5c-9926-b11484150288' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:24,200 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '7ccd5490-6b91-491f-a583-3ea7113b96e6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:24,210 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '7ccd5490-6b91-491f-a583-3ea7113b96e6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:24,211 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '7ccd5490-6b91-491f-a583-3ea7113b96e6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:24,291 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '7ccd5490-6b91-491f-a583-3ea7113b96e6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:26,861 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '7ccd5490-6b91-491f-a583-3ea7113b96e6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:26,861 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '7ccd5490-6b91-491f-a583-3ea7113b96e6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:26,863 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '7ccd5490-6b91-491f-a583-3ea7113b96e6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:26,863 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '7ccd5490-6b91-491f-a583-3ea7113b96e6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:26,935 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '7ccd5490-6b91-491f-a583-3ea7113b96e6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:26,935 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '7ccd5490-6b91-491f-a583-3ea7113b96e6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = CommonAcceptanceTestDefinitions ~ ScenarioName =Logout as ROL User ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:26,935 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '7ccd5490-6b91-491f-a583-3ea7113b96e6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:26,948 |L: DEBUG |TH: Agent: adapter run thread for test 'LaunchROLURLAsROLWalletTransactionUser' with id 'a43fecf2-cce7-46cb-895e-966efe48a3ce' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:26,950 |L: DEBUG |TH: Agent: adapter run thread for test 'LaunchROLURLAsROLWalletTransactionUser' with id 'a43fecf2-cce7-46cb-895e-966efe48a3ce' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:26,950 |L: DEBUG |TH: Agent: adapter run thread for test 'LaunchROLURLAsROLWalletTransactionUser' with id 'a43fecf2-cce7-46cb-895e-966efe48a3ce' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:26,960 |L: DEBUG |TH: Agent: adapter run thread for test 'LaunchROLURLAsROLWalletTransactionUser' with id 'a43fecf2-cce7-46cb-895e-966efe48a3ce' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:27,620 |L: DEBUG |TH: Agent: adapter run thread for test 'LaunchROLURLAsROLWalletTransactionUser' with id 'a43fecf2-cce7-46cb-895e-966efe48a3ce' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:27,621 |L: DEBUG |TH: Agent: adapter run thread for test 'LaunchROLURLAsROLWalletTransactionUser' with id 'a43fecf2-cce7-46cb-895e-966efe48a3ce' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:27,623 |L: DEBUG |TH: Agent: adapter run thread for test 'LaunchROLURLAsROLWalletTransactionUser' with id 'a43fecf2-cce7-46cb-895e-966efe48a3ce' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:27,623 |L: DEBUG |TH: Agent: adapter run thread for test 'LaunchROLURLAsROLWalletTransactionUser' with id 'a43fecf2-cce7-46cb-895e-966efe48a3ce' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:27,693 |L: DEBUG |TH: Agent: adapter run thread for test 'LaunchROLURLAsROLWalletTransactionUser' with id 'a43fecf2-cce7-46cb-895e-966efe48a3ce' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:27,693 |L: DEBUG |TH: Agent: adapter run thread for test 'LaunchROLURLAsROLWalletTransactionUser' with id 'a43fecf2-cce7-46cb-895e-966efe48a3ce' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = CommonAcceptanceTestDefinitions ~ ScenarioName =Launch ROL URL as ROLWalletTransactionUser ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:27,693 |L: DEBUG |TH: Agent: adapter run thread for test 'LaunchROLURLAsROLWalletTransactionUser' with id 'a43fecf2-cce7-46cb-895e-966efe48a3ce' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:27,721 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:27,722 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:28,395 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:28,395 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:28,398 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:28,403 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:30,227 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:30,227 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:30,231 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:30,231 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:30,848 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:30,848 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:30,851 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:07:30,852 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityOfROL' with id '40989e4d-5ddf-45e9-8cdb-6d4c36eb9055' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
