 T: 2018-06-20 14:02:05,399 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:18,849 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:25,553 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:25,553 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:25,556 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:25,561 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,604 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,604 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = YourAccountDefinition ~ ScenarioName =MOL User  with No Wallet View the transaction ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,604 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,607 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,607 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,770 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,770 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,777 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,780 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,933 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,933 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = TransactionDefination ~ ScenarioName =MOL User  with No Wallet View the transaction ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,933 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,947 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsMOLUser' with id '7bab4be0-ba5c-4d74-870f-17677d33c693' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,952 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsMOLUser' with id '7bab4be0-ba5c-4d74-870f-17677d33c693' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:30,952 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsMOLUser' with id '7bab4be0-ba5c-4d74-870f-17677d33c693' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:31,016 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsMOLUser' with id '7bab4be0-ba5c-4d74-870f-17677d33c693' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:33,139 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsMOLUser' with id '7bab4be0-ba5c-4d74-870f-17677d33c693' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:33,139 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsMOLUser' with id '7bab4be0-ba5c-4d74-870f-17677d33c693' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:33,142 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsMOLUser' with id '7bab4be0-ba5c-4d74-870f-17677d33c693' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:35,150 |L: DEBUG |TH: Agent: adapter run thread for test 'LogoutAsMOLUser' with id '7bab4be0-ba5c-4d74-870f-17677d33c693' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:35,180 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:35,181 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:35,181 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:35,187 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:35,648 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:35,648 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:35,659 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:35,660 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:36,335 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:36,335 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:36,338 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:36,342 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:37,997 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:37,997 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:38,000 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:38,001 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:38,268 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:38,268 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:38,271 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:38,272 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:39,576 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:39,576 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = RegistrationMOLDefinition ~ ScenarioName =Validate the error handling functionality in Registration page ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:39,576 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:39,579 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:39,579 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:41,049 |L: DEBUG |TH: Agent: adapter run thread for test 'ValidateTheErrorHandlingFunctionalityInRegistrationPage' with id '9c5dc97e-b3d9-466b-99a6-8aa880014e16' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
